name,category,latitude,longitude,address,priceMin,priceMax,rating,menu,tips,reviews
Highlands Coffee Hola,Cafe,21.01354,105.52522,"Campus Đại Học FPT Hoà Lạc, Thạch Thất, Hà Nội",29000,65000,4.5,"Trà Sen Vàng Highlands (Size L):55k;Phin Sữa Đá Highlands (Size M):39k;Freeze Trà Xanh Highlands (Size M):55k;Bánh Mì Thịt Nướng Highlands:29k;Cà phê sữa đá pha phin sữa béo ngọt ngào:30k;Bạc xỉu ba tầng Hola sữa thơm nhẹ cafe:26k;Sinh tố bơ sáp Đắk Lắk ngọt ngào béo mịn:37k;Trà sữa trân châu hoàng kim béo ngậy đậm trà:30k;Nước cam sành vắt nguyên chất tươi ngọt:28k;Cà phê cốt dừa đá xay thơm béo ngậy bùi:37k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:27k;Đĩa hướng dương rang thơm thảo mộc cắn nhót:10k;Bánh sừng bò Croissant bơ Pháp nướng giòn:31k;Bánh bông lan trứng muối ngập sốt dầu trứng:37k;Trà quất mật ong đá mát ngọt dịu:10k;Trà chanh truyền thống phố cổ mát lạnh:17k","Nằm ngay tầng trệt tòa nhà Alpha, không gian rộng rãi thích hợp học nhóm học bài.","Không gian ôn thi đỉnh cao của sinh viên FPT | Đồ uống ngon, phục vụ nhanh | Cuối tuần hơi ồn"
Bay Coffee & Tea,Cafe,21.01250,105.52950,"Hồ Tân Xã, Thạch Thất, Hà Nội",25000,49000,4.7,"Cà phê muối kem béo mặn ngọt độc đáo:25k;Trà sữa Matcha trân châu trắng Nhật Bản:37k;Sữa tươi trân châu đường đen sủi bọt kem sữa:40k;Cà phê sữa đá pha phin sữa béo ngọt ngào:20k;Sinh tố bơ sáp Đắk Lắk ngọt ngào béo mịn:35k;Nước cam sành vắt nguyên chất tươi ngọt:35k;Cà phê cốt dừa đá xay thơm béo ngậy bùi:37k;Đĩa hướng dương rang thơm thảo mộc cắn nhót:13k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:30k;Trà quất mật ong đá mát ngọt dịu:12k;Trà chanh truyền thống phố cổ mát lạnh:15k","View hồ Tân Xã cực mát mẻ, nổi tiếng cafe muối béo ngậy vị mặn ngọt hài hòa.",Cafe muối đỉnh chóp tại Hola | View hồ mát lộng thích hợp tán gẫu chiều tối | Nhân viên rất dễ thương
1988 BBQ Tân Xã,Ăn uống,21.01500,105.53100,"Đường ven hồ Tân Xã, Thạch Thất, Hà Nội",179000,219000,4.6,Set Lẩu Riêu cua bắp bò sườn non sụn (3 người):304k;Set Lẩu Thái chua cay hải sản (2-3 người):202k;Buffet Nướng Lẩu Premium (Set Hải Sản đầy đủ):187k;Buffet Nướng Lẩu Sinh Viên (Set Basic):137k;Set Lẩu Ếch măng chua cay nóng hổi (2-3 người):204k;Set Lẩu Bò nhúng giấm chua ngọt (2 người):187k;Đĩa tôm sú nướng muối ớt cay giòn thêm:71k;Đĩa khoai tây chiên lắc bột phô mai giòn:35k;Đĩa ba chỉ bò Mỹ nướng lẩu thêm:57k;Coca-Cola lon lạnh ga mát:12k;Bia Hà Nội chai lạnh mát:17k;Bia hơi Hà Nội mát lạnh (Ca 1 lít lạnh):20k,"Buffet nướng lẩu sinh viên bình dân cực ngon, đông đúc nhộn nhịp vào dịp cuối tuần.",Thịt tẩm ướp đậm đà nước sốt ngon | Rẻ thích hợp đi liên hoan nhóm lớp | Nên đặt bàn trước vì tối cuối tuần rất đông
Gà Ri Phú Bình,Ăn uống,21.00890,105.53320,"Khu Công Nghệ Cao Hoà Lạc, Thạch Thất, Hà Nội",150000,350000,4.8,"Mẹt Gà Ri Đắp Đất Nướng Phú Bình:250k;Gà Ri Hấp Lá Chanh Phú Bình (Nửa con):120k;Gà rán giòn rụm cay nồng (2 miếng đùi):45k;Gà rán sốt mật ong tỏi béo ngọt (3 miếng):56k;Gà đồi rang muối sả ớt giòn thơm:108k;Lẩu gà lá giang chua ngọt ấm cúng (2-3 người):204k;Gà ri đồi đắp đất nướng lu mật ong (nguyên con):275k;Gà ta hấp lá chanh da giòn ngọt thịt (nửa con):123k;Đĩa khoai tây chiên vàng giòn:23k;Đĩa ngô chiên bơ ngậy ngọt ngon:20k;Đĩa dưa chuột chẻ ăn giải ngấy gà luộc:13k;Trà quất mát lạnh:15k;Lon Pepsi ướp đá lạnh ga mát:12k","Gà đồi chắc thịt thơm ngon ngọt tự nhiên, phù hợp liên hoan tụ tập đông người gia đình.",Gà đồi ta ăn chắc thịt và rất thơm ngon | Quán sạch sẽ phục vụ nhanh | Lẩu gà ri lá giang chua cay đậm vị
Twitter Beans Coffee,Cafe,21.01220,105.52650,"Khu Công Nghệ Cao Hoà Lạc, Thạch Thất, Hà Nội",35000,69000,4.4,Trà sen vàng kem béo hạt sen dẻo:48k;Trà sữa Matcha trân châu trắng Nhật Bản:42k;Cà phê muối kem béo mặn ngọt độc đáo:30k;Cà phê sữa đá pha phin sữa béo ngọt ngào:25k;Nước cam sành vắt nguyên chất tươi ngọt:25k;Sữa tươi trân châu đường đen sủi bọt kem sữa:38k;Bánh sừng bò Croissant bơ Pháp nướng giòn:23k;Bánh bông lan trứng muối ngập sốt dầu trứng:38k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:30k;Đĩa hướng dương rang thơm thảo mộc cắn nhót:17k;Trà chanh truyền thống phố cổ mát lạnh:18k;Trà quất mật ong đá mát ngọt dịu:17k,"Không gian yên tĩnh trong nhà kính, thích hợp ôn bài thư giãn và ngắm view bên ngoài.",Không gian siêu yên tĩnh thích hợp học tập | Đồ uống ngọt vừa và bánh rất ngon | Decor xinh xắn ấm cúng
Bún bò Huế – Cơm rang Đức Duy,Ăn uống,21.0017358,105.521583,"Bún bò Huế – Cơm rang Đức Duy, Quốc lộ 21 - Đường Hồ Chí Minh, Xã Hòa Lạc, Thành phố Hà Nội, Việt Nam",15000,120000,4.3,Bún Bò Bún bò Huế – Cơm rang Đức Duy Đặc Sản:50k;Bún Bò Huế Tái Nạm Gân:40k;Bún Bò Huế Chả Cua Thịt Chín:38k;Bún Bò Huế Đuôi Bò Hầm:50k;Bún Bò Huế Đặc Biệt đầy đủ:50k;Bún Bò Huế Bắp Bò Hoa:43k;Đĩa thịt bò trần gọi thêm:23k;Móng giò heo ninh thêm (1 cái):10k;Trứng chần hành lá lòng đào:5k;Viên chả cua Huế gọi thêm:13k;Sữa đậu nành đá lạnh:17k;Nước quất đá đường mát lạnh:7k;Trà đá Thái Nguyên truyền thống:5k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
Quốc lộ 21 - Đường Hồ Chí Minh,Ăn uống,21.0090848,105.5181801,"Quốc lộ 21 - Đường Hồ Chí Minh, Xã Hòa Lạc, Thành phố Hà Nội, Việt Nam",15000,120000,4.2,Ốc hương luộc lá chanh sả gừng tươi ngọt:63k;Hàu nướng phô mai kéo sợi thơm ngậy (6 con):65k;Hàu nướng mỡ hành lạc rang bùi béo (6 con):50k;Mực trứng hấp gừng sả hành củ ngọt lịm:83k;Ốc móng tay xào tỏi hành sả thơm lừng:65k;Ốc mỡ xào sa tế me dừa béo cay chua:75k;Sò huyết cháy tỏi sả ớt sần sật sảng khoái:73k;Đĩa nem chua rán chiên xù chấm tương ớt (5 cái):30k;Đĩa xoài non dầm bò khô chua ngọt cay:22k;Trà quất tắc mát lạnh ngọt sướng:12k;Bia Hà Nội chai lạnh mát sủi bọt giải nhiệt:20k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
Vân Hiền,Ăn uống,21.0203043,105.5513063,"Vân Hiền, Mục Uyên, Khu Công nghệ cao Hòa Lạc, Xã Hạ Bằng, Thành phố Hà Nội, Việt Nam",15000,120000,4.0,Cơm sườn sụn heo sốt me rim giòn sật:47k;Cơm bò xào sả ớt sả băm cay nồng:35k;Cơm gà xối mỡ đùi chiên vàng giòn da:37k;Cơm rang thập cẩm giò lạp sườn Hà Nội:37k;Cơm sườn rim chua ngọt đưa cơm sinh viên:43k;Cơm rang dưa bò giòn hạt tơi:37k;Đĩa thịt ba chỉ rang sém cạnh gọi thêm:15k;Bát canh cải xanh thịt băm thêm mát:10k;Trứng gà chiên ốp la thêm lòng đỏ dẻo:5k;Trà tắc tắc tươi vắt mát lạnh:17k;Trà đá Thái Nguyên giải nhiệt:6k;Coca-Cola lon lạnh mát:20k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
Quán Chú Béo,Ăn uống,21.0195732,105.5515173,"Quán Chú Béo, Mục Uyên, Khu Công nghệ cao Hòa Lạc, Xã Hạ Bằng, Thành phố Hà Nội, Việt Nam",15000,120000,4.9,Cơm sườn rim chua ngọt đưa cơm sinh viên:43k;Cơm gà xối mỡ đùi chiên vàng giòn da:42k;Cơm rang thập cẩm giò lạp sườn Hà Nội:35k;Cơm rang dưa bò giòn hạt tơi:37k;Cơm bò xào sả ớt sả băm cay nồng:40k;Cơm sườn sụn heo sốt me rim giòn sật:42k;Cơm ba chỉ heo rang cháy cạnh hành tỏi:38k;Bát canh cải xanh thịt băm thêm mát:5k;Đĩa thịt ba chỉ rang sém cạnh gọi thêm:20k;Trà đá Thái Nguyên giải nhiệt:5k;Coca-Cola lon lạnh mát:20k;Trà tắc tắc tươi vắt mát lạnh:14k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
Cửa Hàng Bún Bẩy Cường,Ăn uống,21.0296472,105.5173704,"Cửa Hàng Bún Bẩy Cường, Quốc lộ 21 - Đường Hồ Chí Minh, Xã Hòa Lạc, Thành phố Hà Nội, 34000, Việt Nam",15000,120000,4.9,Đĩa lòng lợn luộc thập cẩm nóng hổi đầy đặn:78k;Bún riêu cua bắp bò giò tai đầy đủ:45k;Bánh xèo miền Tây nhân tôm thịt giòn tan da:40k;Cháo sườn sụn quẩy giòn ngọt sánh:30k;Cháo lòng tiết canh dồi heo chuẩn vị bắc:37k;Đĩa quẩy giòn cháo bún phở (3 chiếc):8k;Trứng chần hành trần lòng đào béo ngậy:5k;Trà đá giải nhiệt Thái Nguyên mát:6k;Trà nhân trần đá mát ngọt giọng thanh nhiệt:5k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
Zing Tea,Cafe,21.0171326,105.5523571,"Zing Tea, Mục Uyên, Xã Hạ Bằng, Thành phố Hà Nội, 13117, Việt Nam",15000,120000,4.8,"Nước cam sành vắt nguyên chất tươi ngọt:30k;Sữa tươi trân châu đường đen sủi bọt kem sữa:40k;Cà phê đen đá Robusta đậm đà truyền thống:25k;Bạc xỉu ba tầng Hola sữa thơm nhẹ cafe:31k;Cà phê sữa đá pha phin sữa béo ngọt ngào:23k;Cà phê muối kem béo mặn ngọt độc đáo:25k;Trà sữa trân châu hoàng kim béo ngậy đậm trà:38k;Trà sen vàng kem béo hạt sen dẻo:43k;Bánh bông lan trứng muối ngập sốt dầu trứng:32k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:25k;Trà quất mật ong đá mát ngọt dịu:18k;Trà chanh truyền thống phố cổ mát lạnh:20k",AI gợi ý món ăn ngon từ dữ liệu maps.,Đồ uống rẻ và pha ngon | View ngoài sân mát mẻ học bài tốt | Phục vụ hơi chậm lúc đông
Helios,Cafe,21.0193866,105.5500223,"Helios, Đường N05, Khu Công nghệ cao Hòa Lạc, Xã Hòa Lạc, Thành phố Hà Nội, 13117, Việt Nam",15000,120000,4.6,"Sữa tươi trân châu đường đen sủi bọt kem sữa:30k;Cà phê muối kem béo mặn ngọt độc đáo:23k;Cà phê đen đá Robusta đậm đà truyền thống:23k;Bạc xỉu ba tầng Hola sữa thơm nhẹ cafe:31k;Trà sữa Matcha trân châu trắng Nhật Bản:42k;Nước cam sành vắt nguyên chất tươi ngọt:32k;Đĩa hướng dương rang thơm thảo mộc cắn nhót:13k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:25k;Bánh bông lan trứng muối ngập sốt dầu trứng:35k;Trà quất mật ong đá mát ngọt dịu:12k;Trà chanh truyền thống phố cổ mát lạnh:15k",AI gợi ý món ăn ngon từ dữ liệu maps.,Đồ uống rẻ và pha ngon | View ngoài sân mát mẻ học bài tốt | Phục vụ hơi chậm lúc đông
Wisteria EME,Cafe,20.9883594,105.5514169,"Wisteria EME, Đại lộ Thăng Long, Xã Hòa Lạc, Thành phố Hà Nội, Việt Nam",15000,120000,4.4,"Cà phê sữa đá pha phin sữa béo ngọt ngào:23k;Cà phê cốt dừa đá xay thơm béo ngậy bùi:37k;Trà sữa trân châu hoàng kim béo ngậy đậm trà:37k;Trà đào cam sả thanh mát ngọt thơm:37k;Nước cam sành vắt nguyên chất tươi ngọt:32k;Trà sữa Matcha trân châu trắng Nhật Bản:40k;Trà sen vàng kem béo hạt sen dẻo:48k;Bánh sừng bò Croissant bơ Pháp nướng giòn:25k;Đĩa hướng dương rang thơm thảo mộc cắn nhót:15k;Bánh bông lan trứng muối ngập sốt dầu trứng:30k;Trà chanh truyền thống phố cổ mát lạnh:20k;Trà quất mật ong đá mát ngọt dịu:12k",AI gợi ý món ăn ngon từ dữ liệu maps.,Đồ uống rẻ và pha ngon | View ngoài sân mát mẻ học bài tốt | Phục vụ hơi chậm lúc đông
Phê đây,Cafe,21.0177212,105.5521513,"Phê đây, Mục Uyên, Xã Hạ Bằng, Thành phố Hà Nội, 13117, Việt Nam",15000,120000,4.8,"Trà sữa trân châu hoàng kim béo ngậy đậm trà:35k;Nước cam sành vắt nguyên chất tươi ngọt:30k;Cà phê muối kem béo mặn ngọt độc đáo:22k;Cà phê sữa đá pha phin sữa béo ngọt ngào:20k;Sữa tươi trân châu đường đen sủi bọt kem sữa:33k;Trà sen vàng kem béo hạt sen dẻo:50k;Trà sữa Matcha trân châu trắng Nhật Bản:42k;Cà phê đen đá Robusta đậm đà truyền thống:20k;Bánh bông lan trứng muối ngập sốt dầu trứng:30k;Bánh sừng bò Croissant bơ Pháp nướng giòn:31k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:30k;Trà quất mật ong đá mát ngọt dịu:20k;Trà chanh truyền thống phố cổ mát lạnh:15k",AI gợi ý món ăn ngon từ dữ liệu maps.,Đồ uống rẻ và pha ngon | View ngoài sân mát mẻ học bài tốt | Phục vụ hơi chậm lúc đông
Son Tay,Cafe,21.0491761,105.5046206,"Son Tay, Quốc lộ 21 - Đường Hồ Chí Minh, Xã Đoài Phương, Thành phố Hà Nội, 34000, Việt Nam",15000,120000,4.5,Trà sữa trân châu hoàng kim béo ngậy đậm trà:38k;Cà phê cốt dừa đá xay thơm béo ngậy bùi:35k;Trà đào cam sả thanh mát ngọt thơm:35k;Bạc xỉu ba tầng Hola sữa thơm nhẹ cafe:29k;Trà sữa Matcha trân châu trắng Nhật Bản:43k;Trà sen vàng kem béo hạt sen dẻo:48k;Bánh sừng bò Croissant bơ Pháp nướng giòn:28k;Đĩa khô gà lá chanh cay ngọt dai dai ngon:23k;Trà chanh truyền thống phố cổ mát lạnh:15k;Trà quất mật ong đá mát ngọt dịu:20k,AI gợi ý món ăn ngon từ dữ liệu maps.,Đồ uống rẻ và pha ngon | View ngoài sân mát mẻ học bài tốt | Phục vụ hơi chậm lúc đông
Căng tin 2,Ăn uống,21.0131589,105.522606,"Căng tin 2, Đường N16, Khu Công nghệ cao Hòa Lạc, Xã Hòa Lạc, Thành phố Hà Nội, 13117, Việt Nam",15000,120000,4.1,Cơm ba chỉ heo rang cháy cạnh hành tỏi:38k;Cơm bò xào sả ớt sả băm cay nồng:40k;Cơm rang dưa bò giòn hạt tơi:38k;Cơm gà xối mỡ đùi chiên vàng giòn da:43k;Cơm rang thập cẩm giò lạp sườn Hà Nội:40k;Cơm sườn rim chua ngọt đưa cơm sinh viên:43k;Cơm thịt ba chỉ kho tàu trứng cút hầm nấm:38k;Cơm sườn sụn heo sốt me rim giòn sật:45k;Trứng gà chiên ốp la thêm lòng đỏ dẻo:5k;Đĩa thịt ba chỉ rang sém cạnh gọi thêm:18k;Bát canh cải xanh thịt băm thêm mát:6k;Trà tắc tắc tươi vắt mát lạnh:9k;Trà đá Thái Nguyên giải nhiệt:5k,AI gợi ý món ăn ngon từ dữ liệu maps.,Sạch sẽ vệ sinh giá sinh viên | Đồ ăn nóng hổi nêm nếm đậm đà | Không gian hơi chật
